SampleSize,K2_mean,K2_err,K3_mean,K3_err,K4_mean,K4_err,K2_trial_1,K2_trial_2,K2_trial_3,K2_trial_4,K2_trial_5,K3_trial_1,K3_trial_2,K3_trial_3,K3_trial_4,K3_trial_5,K4_trial_1,K4_trial_2,K4_trial_3,K4_trial_4,K4_trial_5
1000,0.004143616,0.000820322,0.003859444,0.001359706,0.002347031,0.000633488,0.002192868,0.006690167,0.002890902,0.005303686,0.003640457,0.002975996,0.000734994,0.001971908,0.00514999,0.008464335,0.002159183,0.002773533,0.001003483,0.004541647,0.001257307
5000,0.002546611,0.000516795,0.00138173,0.000381319,0.001460219,0.000285483,0.002655727,0.001602111,0.003871126,0.00343421,0.001169881,0.001061949,0.000428987,0.002202569,0.000858465,0.00235668,0.001513831,0.000992946,0.002544231,0.00119224,0.001057848
10000,0.001412997,0.000535795,0.000787288,0.000233106,0.001173484,0.000100233,0.000145585,0.001948391,0.003220641,0.000910387,0.000839981,0.001609139,0.00095111,0.000570708,0.000547358,0.000258124,0.001047455,0.00126977,0.001524377,0.000989599,0.001036222
50000,0.000420876,0.00013131,0.000302136,0.000110622,0.000348797,9.27273E-05,0.000540495,0.000786019,0.000254834,0.000505282,1.77E-05,0.000175754,0.000262832,0.000734919,0.000122446,0.000214731,0.000482102,0.000631253,0.000105987,0.00027818,0.000246465
100000,0.000541104,0.000186662,0.000343934,6.28653E-05,0.000295463,5.75907E-05,0.000219,0.000125118,0.001182067,0.000542203,0.00063713,0.000480985,0.000400465,0.000205072,0.000181886,0.000451264,0.000226653,0.000303684,0.000510297,0.000176617,0.000260063
500000,0.000153497,3.69083E-05,0.000127958,2.61189E-05,0.000104201,1.47608E-05,0.000133074,0.000258942,0.000169642,3.10E-05,0.000174782,0.00014274,0.000218633,6.23E-05,0.000100975,0.000115144,8.45E-05,0.000146546,0.000132272,7.17E-05,8.60E-05
1000000,0.000200457,4.06373E-05,0.000107161,2.35948E-05,0.00010844,2.56822E-05,0.000242671,7.65E-05,0.000216999,0.000151009,0.000315141,0.000121536,0.000119494,0.000181075,4.57E-05,6.80E-05,0.000120228,2.13E-05,0.000106833,0.00011156,0.000182261
5000000,8.58E-05,2.31251E-05,4.54E-05,1.03471E-05,4.53E-05,8.22667E-06,6.43E-05,8.83E-05,7.60E-05,0.000169908,3.05E-05,2.75E-05,4.12E-05,1.97E-05,6.77E-05,7.08E-05,3.21E-05,4.34E-05,3.85E-05,7.73E-05,3.51E-05
10000000,6.38E-05,1.39306E-05,3.20E-05,9.96614E-06,3.14E-05,5.42595E-06,5.77E-05,3.80E-05,0.000102459,3.17E-05,8.93E-05,3.28E-05,1.11E-05,5.78E-05,8.23E-06,4.99E-05,2.83E-05,1.69E-05,4.54E-05,2.41E-05,4.23E-05
